%	Data Source: 
%       3 Month LIBOR is from Economagic.com, 
%
%       3 Month Repo is from Bloomberg														
%
%       Swaps and Constant Maturity Rates are from the Federal Reserve Board
%	
%       Swap Description: Rate paid by fixed-rate payer on an interest rate swap with maturity of one year - thirty year.														
%	Note	"International Swaps aNaN Derivatives Association (ISDA?) mid-market par swap rates. Rates are for a Fixed Rate Payer in return for receiving three month LIBOR. Quotes are based on rates collected at 11:00 a.m. Eastern time by Garban Intercapital plc aNaN published on Reuters Page ISDAFIX?1. ISDAFIX is a registered service mark of ISDA. Source: Reuters Limited."														
%
%  	TCM Description: "Market yield on U.S. Treasury securities at 1, 2, ..,10-year constant maturity, quoted on investment basis"				
%  	Note	"Yields on actively traded non-inflation-indexed issues adjusted to constant maturities. The 30-year Treasury constant maturity series was discontinued on February 18, 2002, and reintroduced on February 9, 2006. From February 18, 2002, to February 9, 2006, the U.S. Treasury published a factor for adjusting the daily nominal 20-year constant maturity in order to estimate a 30-year nominal rate. The historical adjustment factor can be found at www.treas.gov/offices/domestic-finance/debt-management/interest-rate/ltcompositeindex_historical.shtml. Source: U.S. Treasury."				
																
																
%DATE      	3MonthLIBOR	3 Month Repo	 SWAPSY1	 SWAPSY2	 SWAPSY3	 SWAPSY4	 SWAPSY5	 SWAPSY7	 SWAPSY10	 SWAPSY30	 TCMNOMY1	 TCMNOMY2	 TCMNOMY3	 TCMNOMY5	 TCMNOMY7	 TCMNOMY10
20000703	6.7700	6.46	7.1	7.16	7.17	7.17	7.17	7.2	7.24	7.24	6.07	6.31	6.24	6.12	6.19	6
20000704	6.7500	NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN	 NaN
20000705	6.7450	6.4	7.03	7.06	7.07	7.07	7.08	7.11	7.14	7.16	6.06	6.29	6.23	6.12	6.18	5.99
20000706	6.7400	6.43	7.07	7.13	7.14	7.15	7.16	7.19	7.21	7.21	6.1	6.34	6.28	6.16	6.24	6.05
20000707	6.7438	6.45	7.01	7.04	7.06	7.06	7.07	7.1	7.14	7.14	6.07	6.29	6.23	6.11	6.17	6.01
20000710	6.7300	6.4	7.04	7.09	7.11	7.13	7.14	7.17	7.2	7.19	6.09	6.31	6.24	6.13	6.21	6.04
20000711	6.7313	6.42	7.04	7.1	7.11	7.13	7.14	7.18	7.22	7.2	6.09	6.32	6.26	6.16	6.22	6.06
20000712	6.7313	6.43	7.06	7.12	7.14	7.15	7.17	7.2	7.23	7.19	6.1	6.34	6.29	6.2	6.26	6.09
20000713	6.7338	6.4	7.04	7.09	7.1	7.12	7.13	7.16	7.19	7.13	6.07	6.31	6.24	6.15	6.17	6.01
20000714	6.7300	6.43	7.08	7.14	7.16	7.17	7.19	7.21	7.23	7.17	6.12	6.41	6.35	6.25	6.29	6.1
